,ts_code,trade_date,high,low
0,000001.SZ,20181126,10.46,10.3
1,000001.SZ,20181123,10.58,10.31
2,000001.SZ,20181122,10.67,10.48
3,000001.SZ,20181121,10.67,10.48
4,000001.SZ,20181120,10.8,10.52
5,000001.SZ,20181119,10.88,10.57
6,000001.SZ,20181116,10.72,10.49
7,000001.SZ,20181115,10.64,10.42
8,000001.SZ,20181114,10.55,10.42
9,000001.SZ,20181113,10.65,10.38
10,000001.SZ,20181112,10.58,10.38
11,000001.SZ,20181109,10.73,10.4
12,000001.SZ,20181108,10.97,10.82
13,000001.SZ,20181107,10.95,10.75
14,000001.SZ,20181106,10.93,10.73
15,000001.SZ,20181105,11.04,10.82
16,000001.SZ,20181102,11.16,10.83
17,000001.SZ,20181101,11.05,10.76
18,000001.SZ,20181031,10.99,10.75
19,000001.SZ,20181030,11.08,10.73
20,000001.SZ,20181029,11.24,10.62
21,000001.SZ,20181026,11.31,10.96
22,000001.SZ,20181025,11.29,10.71
23,000001.SZ,20181024,11.33,10.8
24,000001.SZ,20181023,11.22,10.73
25,000001.SZ,20181022,11.46,10.78
26,000001.SZ,20181019,10.78,9.92
27,000001.SZ,20181018,10.29,10.06
28,000001.SZ,20181017,10.55,10.14
29,000001.SZ,20181016,10.54,10.12
30,000001.SZ,20181015,10.47,10.09
31,000001.SZ,20181012,10.34,9.87
32,000001.SZ,20181011,10.16,9.7
33,000001.SZ,20181010,10.66,10.38
34,000001.SZ,20181009,10.7,10.39
35,000001.SZ,20181008,10.79,10.45
36,000001.SZ,20180928,11.27,10.78
37,000001.SZ,20180927,10.84,10.57
38,000001.SZ,20180926,10.92,10.52
39,000001.SZ,20180925,10.68,10.48
40,000001.SZ,20180921,10.7,10.18
41,000001.SZ,20180920,10.36,10.19
42,000001.SZ,20180919,10.34,10.03
43,000001.SZ,20180918,10.12,9.7
44,000001.SZ,20180917,9.8,9.68
45,000001.SZ,20180914,9.98,9.81
46,000001.SZ,20180913,10.1,9.84
47,000001.SZ,20180912,9.97,9.82
48,000001.SZ,20180911,10.03,9.81
49,000001.SZ,20180910,10.07,9.84
50,000001.SZ,20180907,10.18,9.93
51,000001.SZ,20180906,10.14,9.95
52,000001.SZ,20180905,10.33,10.05
53,000001.SZ,20180904,10.55,10.07
54,000001.SZ,20180903,10.3,10.09
55,000001.SZ,20180831,10.32,10.1
56,000001.SZ,20180830,10.35,10.08
57,000001.SZ,20180829,10.33,10.15
58,000001.SZ,20180828,10.43,10.24
59,000001.SZ,20180827,10.43,9.97
60,000001.SZ,20180824,10.28,9.29
61,000001.SZ,20180823,9.42,9.23
62,000001.SZ,20180822,9.34,9.13
63,000001.SZ,20180821,9.26,9.01
64,000001.SZ,20180820,9.02,8.87
65,000001.SZ,20180817,8.94,8.78
66,000001.SZ,20180816,8.89,8.64
67,000001.SZ,20180815,9.02,8.75
68,000001.SZ,20180814,9.04,8.94
69,000001.SZ,20180813,9.16,8.9
70,000001.SZ,20180810,9.32,9.16
71,000001.SZ,20180809,9.35,9.02
72,000001.SZ,20180808,9.16,9.04
73,000001.SZ,20180807,9.17,8.88
74,000001.SZ,20180806,9.11,8.89
75,000001.SZ,20180803,9.1,8.91
76,000001.SZ,20180802,9.15,8.88
77,000001.SZ,20180801,9.5,9.11
78,000001.SZ,20180731,9.49,9.25
79,000001.SZ,20180730,9.49,9.26
80,000001.SZ,20180727,9.36,9.18
81,000001.SZ,20180726,9.48,9.21
82,000001.SZ,20180725,9.47,9.33
83,000001.SZ,20180724,9.59,9.33
84,000001.SZ,20180723,9.45,9.0
85,000001.SZ,20180720,9.2,8.61
86,000001.SZ,20180719,8.81,8.69
87,000001.SZ,20180718,8.85,8.69
88,000001.SZ,20180717,8.75,8.66
89,000001.SZ,20180716,8.9,8.69
90,000001.SZ,20180713,8.94,8.82
91,000001.SZ,20180712,8.97,8.58
92,000001.SZ,20180711,8.83,8.68
93,000001.SZ,20180710,9.02,8.89
94,000001.SZ,20180709,9.03,8.68
95,000001.SZ,20180706,8.78,8.45
96,000001.SZ,20180705,8.73,8.55
97,000001.SZ,20180704,8.75,8.61
98,000001.SZ,20180703,8.7,8.45
99,000001.SZ,20180702,9.05,8.55
