,high,low,high_n,low_n
0,10.46,10.3,0.67,0.61
1,10.58,10.31,0.71,0.62
2,10.67,10.48,0.74,0.67
3,10.67,10.48,0.74,0.67
4,10.8,10.52,0.78,0.69
5,10.88,10.57,0.81,0.7
6,10.72,10.49,0.75,0.68
7,10.64,10.42,0.73,0.65
8,10.55,10.42,0.7,0.65
9,10.65,10.38,0.73,0.64
10,10.58,10.38,0.71,0.64
11,10.73,10.4,0.76,0.65
12,10.97,10.82,0.84,0.79
13,10.95,10.75,0.83,0.76
14,10.93,10.73,0.82,0.76
15,11.04,10.82,0.86,0.79
16,11.16,10.83,0.9,0.79
17,11.05,10.76,0.86,0.77
18,10.99,10.75,0.84,0.76
19,11.08,10.73,0.87,0.76
20,11.24,10.62,0.93,0.72
21,11.31,10.96,0.95,0.83
22,11.29,10.71,0.94,0.75
23,11.33,10.8,0.96,0.78
24,11.22,10.73,0.92,0.76
25,11.46,10.78,1.0,0.77
26,10.78,9.92,0.77,0.49
27,10.29,10.06,0.61,0.53
28,10.55,10.14,0.7,0.56
29,10.54,10.12,0.69,0.55
30,10.47,10.09,0.67,0.54
31,10.34,9.87,0.63,0.47
32,10.16,9.7,0.57,0.42
33,10.66,10.38,0.73,0.64
34,10.7,10.39,0.75,0.64
35,10.79,10.45,0.78,0.66
36,11.27,10.78,0.94,0.77
37,10.84,10.57,0.79,0.7
38,10.92,10.52,0.82,0.69
39,10.68,10.48,0.74,0.67
40,10.7,10.18,0.75,0.57
41,10.36,10.19,0.63,0.58
42,10.34,10.03,0.63,0.52
43,10.12,9.7,0.55,0.42
44,9.8,9.68,0.45,0.41
45,9.98,9.81,0.51,0.45
46,10.1,9.84,0.55,0.46
47,9.97,9.82,0.5,0.46
48,10.03,9.81,0.52,0.45
49,10.07,9.84,0.54,0.46
50,10.18,9.93,0.57,0.49
51,10.14,9.95,0.56,0.5
52,10.33,10.05,0.62,0.53
53,10.55,10.07,0.7,0.54
54,10.3,10.09,0.61,0.54
55,10.32,10.1,0.62,0.55
56,10.35,10.08,0.63,0.54
57,10.33,10.15,0.62,0.56
58,10.43,10.24,0.66,0.59
59,10.43,9.97,0.66,0.5
60,10.28,9.29,0.61,0.28
61,9.42,9.23,0.32,0.26
62,9.34,9.13,0.3,0.23
63,9.26,9.01,0.27,0.19
64,9.02,8.87,0.19,0.14
65,8.94,8.78,0.16,0.11
66,8.89,8.64,0.15,0.06
67,9.02,8.75,0.19,0.1
68,9.04,8.94,0.2,0.16
69,9.16,8.9,0.24,0.15
70,9.32,9.16,0.29,0.24
71,9.35,9.02,0.3,0.19
72,9.16,9.04,0.24,0.2
73,9.17,8.88,0.24,0.14
74,9.11,8.89,0.22,0.15
75,9.1,8.91,0.22,0.15
76,9.15,8.88,0.23,0.14
77,9.5,9.11,0.35,0.22
78,9.49,9.25,0.35,0.27
79,9.49,9.26,0.35,0.27
80,9.36,9.18,0.3,0.24
81,9.48,9.21,0.34,0.25
82,9.47,9.33,0.34,0.29
83,9.59,9.33,0.38,0.29
84,9.45,9.0,0.33,0.18
85,9.2,8.61,0.25,0.05
86,8.81,8.69,0.12,0.08
87,8.85,8.69,0.13,0.08
88,8.75,8.66,0.1,0.07
89,8.9,8.69,0.15,0.08
90,8.94,8.82,0.16,0.12
91,8.97,8.58,0.17,0.04
92,8.83,8.68,0.13,0.08
93,9.02,8.89,0.19,0.15
94,9.03,8.68,0.19,0.08
95,8.78,8.45,0.11,0.0
96,8.73,8.55,0.09,0.03
97,8.75,8.61,0.1,0.05
98,8.7,8.45,0.08,0.0
99,9.05,8.55,0.2,0.03
